interface	replicate	value	time
SCIP_CMD	129	7.0	8.531445980072021
HiGHS_CMD	129	7.0	5.694695949554443
CPLEX_PY	130	8.0	0.5438668727874756
GUROBI	130	8.0	0.41256284713745117
SCIP_CMD	130	8.0	2.8923897743225098
HiGHS_CMD	130	8.0	6.752398252487183
CPLEX_PY	132	6.0	0.7679259777069092
GUROBI	132	6.0	0.551199197769165
SCIP_CMD	132	6.0	2.23722505569458
HiGHS_CMD	132	6.0	6.615149974822998
CPLEX_PY	133	7.0	0.6364350318908691
GUROBI	133	7.0	0.8391330242156982
SCIP_CMD	133	7.0	3.463965892791748
HiGHS_CMD	133	7.0	5.467591762542725
CPLEX_PY	134	5.999999999999999	0.8963508605957031
GUROBI	134	6.0	1.0225410461425781
SCIP_CMD	134	6.0	2.2223920822143555
HiGHS_CMD	134	6.0	5.5973920822143555
CPLEX_PY	135	6.0	0.663557767868042
GUROBI	135	6.0	0.8376719951629639
SCIP_CMD	135	6.0	2.001044988632202
HiGHS_CMD	135	6.0	4.221098899841309
CPLEX_PY	136	6.0	0.8547332286834717
GUROBI	136	6.0	0.8296329975128174
SCIP_CMD	136	6.0	4.581419944763184
HiGHS_CMD	136	6.0	3.0462098121643066
CPLEX_PY	137	6.0	1.113300085067749
GUROBI	137	6.0	0.6114161014556885
SCIP_CMD	137	6.0	3.467661142349243
HiGHS_CMD	137	6.0	4.9269490242004395
CPLEX_PY	138	6.0	0.8249058723449707
GUROBI	138	6.0	0.47829103469848633
SCIP_CMD	138	6.0	3.2617831230163574
HiGHS_CMD	138	6.0	4.214882850646973
CPLEX_PY	139	6.0	0.5944550037384033
GUROBI	139	6.0	0.5692973136901855
SCIP_CMD	139	6.0	2.011146068572998
HiGHS_CMD	139	6.0	4.403612852096558
CPLEX_PY	140	7.0	0.6434476375579834
GUROBI	140	7.0	0.4501969814300537
SCIP_CMD	140	7.0	1.374216079711914
HiGHS_CMD	140	7.0	6.110935688018799
CPLEX_PY	141	7.0	0.7591266632080078
GUROBI	141	7.0	0.9174067974090576
SCIP_CMD	141	7.0	1.4778618812561035
HiGHS_CMD	141	7.0	5.557683229446411
CPLEX_PY	142	6.0	0.6035621166229248
GUROBI	142	6.0	0.6886138916015625
SCIP_CMD	142	6.0	3.8928909301757812
HiGHS_CMD	142	6.0	4.7859508991241455
CPLEX_PY	143	7.0	0.7770140171051025
GUROBI	143	7.0	0.5945999622344971
SCIP_CMD	143	7.0	1.0615990161895752
HiGHS_CMD	143	7.0	4.981159210205078
CPLEX_PY	144	8.0	0.7622058391571045
GUROBI	144	8.0	0.7348201274871826
SCIP_CMD	144	8.0	1.840904951095581
HiGHS_CMD	144	8.0	5.264003038406372
CPLEX_PY	145	6.0	0.9850449562072754
GUROBI	145	6.0	1.3649170398712158
SCIP_CMD	145	6.0	8.723615884780884
HiGHS_CMD	145	6.0	8.515963792800903
CPLEX_PY	146	7.0	0.547572135925293
GUROBI	146	7.0	0.3971531391143799
SCIP_CMD	146	7.0	1.1557340621948242
HiGHS_CMD	146	7.0	4.4075562953948975
CPLEX_PY	147	6.0	0.527320146560669
GUROBI	147	6.0	0.41899704933166504
SCIP_CMD	147	6.0	1.7605061531066895
HiGHS_CMD	147	6.0	4.6266188621521
CPLEX_PY	148	6.0	0.46021199226379395
GUROBI	148	6.0	0.7246661186218262
SCIP_CMD	148	6.0	4.347923994064331
HiGHS_CMD	148	6.0	3.7999889850616455
CPLEX_PY	149	7.0	0.49933314323425293
GUROBI	149	7.0	0.5290651321411133
SCIP_CMD	149	7.0	1.5201389789581299
HiGHS_CMD	149	7.0	5.307936906814575
CPLEX_PY	150	7.0	0.5436747074127197
GUROBI	150	7.0	0.8702347278594971
SCIP_CMD	150	7.0	6.9425482749938965
HiGHS_CMD	150	7.0	4.479615926742554
CPLEX_PY	151	5.999999999999999	0.8326373100280762
GUROBI	151	6.0	0.963021993637085
SCIP_CMD	151	6.0	5.975529193878174
HiGHS_CMD	151	6.0	6.2073869705200195
CPLEX_PY	152	6.999999999999999	0.5516037940979004
GUROBI	152	7.0	0.6418437957763672
SCIP_CMD	152	7.0	1.578766107559204
