interface,size,rep,time,value,rel
SCIP_CMD,5,1,0.5790448188781738,52.9020449595644,0.11580896377563477
HiGHS_CMD,5,1,0.3573582172393799,52.9020449594524,0.07147164344787597
GLPK_CMD,5,1,0.3427140712738037,52.902,0.06854281425476075
COIN_CMD,5,1,0.4339160919189453,52.902045,0.08678321838378907
CPLEX_PY,5,2,65.3020989894867,52.902044959440396,13.060419797897339
GUROBI,5,2,0.1815180778503418,52.902044959440396,0.03630361557006836
SCIP_CMD,5,2,0.7657458782196045,52.9020449595644,0.1531491756439209
HiGHS_CMD,5,2,0.44835901260375977,52.9020449594524,0.08967180252075195
GLPK_CMD,5,2,0.5612940788269043,52.902,0.11225881576538085
COIN_CMD,5,2,0.6983640193939209,52.902045,0.13967280387878417
CPLEX_PY,5,3,0.8157870769500732,52.90204495944039,0.16315741539001466
GUROBI,5,3,0.16043519973754883,52.9020449594404,0.03208703994750976
SCIP_CMD,5,3,0.6350131034851074,52.9020449595645,0.12700262069702148
HiGHS_CMD,5,3,0.45413684844970703,52.9020449594524,0.0908273696899414
GLPK_CMD,5,3,0.41515493392944336,52.902,0.08303098678588867
COIN_CMD,5,3,0.5245749950408936,52.902045,0.10491499900817872
CPLEX_PY,5,4,0.7147529125213623,52.902044959440396,0.14295058250427245
GUROBI,5,4,0.13335180282592773,52.9020449594404,0.026670360565185548
SCIP_CMD,5,4,0.6043429374694824,52.9020449595644,0.12086858749389648
HiGHS_CMD,5,4,0.30286097526550293,52.9020449594524,0.06057219505310059
GLPK_CMD,5,4,0.33077502250671387,52.902,0.06615500450134278
COIN_CMD,5,4,0.5034151077270508,52.902045,0.10068302154541016
CPLEX_PY,5,5,1.0437750816345215,52.9020449594404,0.2087550163269043
GUROBI,5,5,0.14426302909851074,52.9020449594404,0.02885260581970215
SCIP_CMD,5,5,0.5387330055236816,52.9020449595644,0.10774660110473633
HiGHS_CMD,5,5,0.3869340419769287,52.9020449594524,0.07738680839538574
GLPK_CMD,5,5,0.3843388557434082,52.902,0.07686777114868164
COIN_CMD,5,5,0.5659458637237549,52.902045,0.11318917274475097
CPLEX_PY,5,6,7.461695909500122,52.9020449594404,1.4923391819000245
GUROBI,5,6,0.15459084510803223,52.902044959440396,0.030918169021606445
SCIP_CMD,5,6,0.6030368804931641,52.9020449595644,0.12060737609863281
HiGHS_CMD,5,6,0.3486518859863281,52.9020449594524,0.06973037719726563
GLPK_CMD,5,6,0.3869459629058838,52.902,0.07738919258117676
COIN_CMD,5,6,0.4841752052307129,52.902045,0.09683504104614257
CPLEX_PY,5,7,0.1692039966583252,51.0112138651537,0.03384079933166504
GUROBI,5,7,0.1090240478515625,51.01121386515391,0.0218048095703125
SCIP_CMD,5,7,0.36038970947265625,51.0112138651695,0.07207794189453125
HiGHS_CMD,5,7,0.2348628044128418,51.0112138651481,0.04697256088256836
GLPK_CMD,5,7,0.2509438991546631,51.0112,0.05018877983093262
COIN_CMD,5,7,0.24095511436462402,51.011184,0.0481910228729248
CPLEX_PY,5,8,0.4011049270629883,52.9020449594404,0.08022098541259766
GUROBI,5,8,0.1511380672454834,52.9020449594404,0.03022761344909668
SCIP_CMD,5,8,0.6047899723052979,52.9020449595644,0.12095799446105956
HiGHS_CMD,5,8,0.41166019439697266,52.9020449594524,0.08233203887939453
GLPK_CMD,5,8,0.41945815086364746,52.902,0.08389163017272949
COIN_CMD,5,8,0.583076000213623,52.902045,0.1166152000427246
CPLEX_PY,5,9,0.48522305488586426,21.582094561515426,0.09704461097717285
GUROBI,5,9,0.1332721710205078,21.58209456151552,0.026654434204101563
SCIP_CMD,5,9,0.523874044418335,21.5820945615181,0.104774808883667
HiGHS_CMD,5,9,0.31079721450805664,21.582094561514,0.06215944290161133
GLPK_CMD,5,9,0.34589290618896484,21.5821,0.06917858123779297
COIN_CMD,5,9,0.6787548065185547,21.580315,0.13575096130371095
CPLEX_PY,6,0,0.6095502376556396,45.12819783673196,0.10159170627593994
GUROBI,6,0,0.19690227508544922,45.12819783673196,0.03281704584757487
SCIP_CMD,6,0,0.7670178413391113,45.1281978367232,0.1278363068898519
HiGHS_CMD,6,0,0.49245595932006836,45.1281978367302,0.0820759932200114
GLPK_CMD,6,0,0.595167875289917,45.1282,0.09919464588165283
COIN_CMD,6,0,3.477320909500122,45.123474,0.579553484916687
CPLEX_PY,6,1,0.193129301071167,18.970460262350343,0.032188216845194496
GUROBI,6,1,0.12067890167236328,18.970460262350297,0.020113150278727215
SCIP_CMD,6,1,0.4362659454345703,18.9704602623383,0.07271099090576172
HiGHS_CMD,6,1,0.26743507385253906,18.970460262346,0.04457251230875651
GLPK_CMD,6,1,0.27677392959594727,18.9705,0.04612898826599121
COIN_CMD,6,1,0.35471367835998535,18.970394,0.059118946393330894
CPLEX_PY,6,2,41.95915389060974,52.9020449594404,6.9931923151016235
GUROBI,6,2,0.1731419563293457,52.9020449594404,0.028856992721557617
SCIP_CMD,6,2,0.7121908664703369,52.9020449595644,0.11869847774505615
HiGHS_CMD,6,2,0.46676135063171387,52.9020449594524,0.07779355843861897
GLPK_CMD,6,2,0.5074920654296875,52.902,0.08458201090494792
COIN_CMD,6,2,0.72536301612854,52.902045,0.12089383602142334
CPLEX_PY,6,3,0.3552279472351074,52.902044959440396,0.059204657872517906
