interface	size	test	rep	time	value
COIN_CMD	3	LP2	5	0.23458290100097656	
CPLEX_PY	3	LP	6	0.11601996421813965	23.950964321845696
GUROBI	3	LP	6	0.08538389205932617	23.950964321845678
SCIP_CMD	3	LP	6	0.3132936954498291	23.9509643218316
HiGHS_CMD	3	LP	6	0.19220185279846191	23.9509643218417
GLPK_CMD	3	LP	6	0.21408414840698242	23.951
COIN_CMD	3	LP	6	0.17635273933410645	23.950965
CPLEX_PY	3	LP2	6	0.4455869197845459	32828.515735196575
GUROBI	3	LP2	6	0.5835528373718262	32828.51573519181
SCIP_CMD	3	LP2	6	1.0456571578979492	32828.515732166445
HiGHS_CMD	3	LP2	6	0.6648440361022949	32828.5157350297
GLPK_CMD	3	LP2	6	1.1888980865478516	
COIN_CMD	3	LP2	6	0.9514691829681396	
CPLEX_PY	3	LP	7	0.13179898262023926	16.25969484900992
GUROBI	3	LP	7	0.10254907608032227	16.259694849009993
SCIP_CMD	3	LP	7	0.37911176681518555	16.2596948489899
HiGHS_CMD	3	LP	7	0.22669124603271484	16.2596948490063
GLPK_CMD	3	LP	7	0.23026371002197266	16.2597
COIN_CMD	3	LP	7	0.23736095428466797	16.259617
CPLEX_PY	3	LP2	7	36.708451986312866	23621.77699469871
GUROBI	3	LP2	7	0.6989638805389404	23621.77699470054
SCIP_CMD	3	LP2	7	1.391315221786499	23621.776994895776
HiGHS_CMD	3	LP2	7	0.7701187133789062	23621.776994768894
GLPK_CMD	3	LP2	7	1.6447010040283203	
COIN_CMD	3	LP2	7	0.8814282417297363	23620.99778080998
CPLEX_PY	3	LP	8	0.11999893188476562	15.039883131209196
GUROBI	3	LP	8	0.08770918846130371	15.039883131209198
SCIP_CMD	3	LP	8	0.41004490852355957	15.0398831312007
HiGHS_CMD	3	LP	8	0.19735193252563477	15.0398831312067
GLPK_CMD	3	LP	8	0.1914808750152588	15.0399
COIN_CMD	3	LP	8	0.20902729034423828	15.03986
CPLEX_PY	3	LP2	8	0.48296403884887695	22753.522693700426
GUROBI	3	LP2	8	0.34978485107421875	22753.522693773313
SCIP_CMD	3	LP2	8	1.383275032043457	22753.52269327824
HiGHS_CMD	3	LP2	8	0.5918681621551514	
GLPK_CMD	3	LP2	8	1.366292953491211	
COIN_CMD	3	LP2	8	0.7044370174407959	22670.656204171926
CPLEX_PY	3	LP	9	0.12518978118896484	16.941851834945073
GUROBI	3	LP	9	0.0941011905670166	16.941851834945076
SCIP_CMD	3	LP	9	0.3921229839324951	16.9418518349342
HiGHS_CMD	3	LP	9	0.22287416458129883	16.9418518349434
GLPK_CMD	3	LP	9	0.2382042407989502	16.9419
COIN_CMD	3	LP	9	0.28763604164123535	16.941854
CPLEX_PY	3	LP2	9	0.4699718952178955	31067.20487403142
GUROBI	3	LP2	9	0.4212679862976074	31067.204874030405
SCIP_CMD	3	LP2	9	1.161005973815918	31067.204870371672
HiGHS_CMD	3	LP2	9	0.727492094039917	31067.20487366469
GLPK_CMD	3	LP2	9	1.5113930702209473	
COIN_CMD	3	LP2	9	0.9011719226837158	
CPLEX_PY	4	LP	0	0.3979148864746094	52.902044959440396
GUROBI	4	LP	0	0.10626220703125	52.902044959440396
SCIP_CMD	4	LP	0	0.40117692947387695	52.9020449595644
HiGHS_CMD	4	LP	0	0.28192996978759766	52.9020449594524
GLPK_CMD	4	LP	0	0.254957914352417	52.902
COIN_CMD	4	LP	0	0.25635194778442383	52.902045
CPLEX_PY	4	LP2	0	23.233351945877075	55510.304605136196
GUROBI	4	LP2	0	0.46887993812561035	55510.304605136065
SCIP_CMD	4	LP2	0	1.5135769844055176	55510.304605421086
HiGHS_CMD	4	LP2	0	0.8463699817657471	55510.30460517348
GLPK_CMD	4	LP2	0	2.824307918548584	55510.236211794145
COIN_CMD	4	LP2	0	1.912646770477295	55510.3046958396
CPLEX_PY	4	LP	1	0.16315412521362305	52.902044959440396
GUROBI	4	LP	1	0.10807585716247559	52.902044959440396
SCIP_CMD	4	LP	1	0.4433109760284424	52.9020449595644
HiGHS_CMD	4	LP	1	0.2776319980621338	52.9020449594525
GLPK_CMD	4	LP	1	0.2588191032409668	52.902
COIN_CMD	4	LP	1	0.28299999237060547	52.902045
CPLEX_PY	4	LP2	1	73.49225497245789	83240.50977627524
GUROBI	4	LP2	1	0.44504499435424805	83240.5097762752
SCIP_CMD	4	LP2	1	1.3141281604766846	83240.50977668675
HiGHS_CMD	4	LP2	1	0.8185949325561523	83240.50977632303
